編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWOMLTJRHGGFAO37DA,1,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPWOMLTJRHGGFAO37DA,1,42.98,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPTPMLTJRHGGFAO17DA,10,107.13,集合住宅,鋼筋混凝土結構造,100年7月13日,十三層,二層 陽台
RPTPMLTJRHGGFAO17DA,10,72.58,共有部分,鋼筋混凝土結構造,100年7月13日,十四層,
RPOPMLSJRHGGFAO56DA,,131.56,住家用,鋼筋混凝土造,,七層,三層 陽台
RPOPMLSJRHGGFAO56DA,,24.02,共有部分,鋼筋混凝土造,,七層,
RPOPMLSJRHGGFAO56DA,,8.67,見使用執照,鋼筋混凝土造,,七層,
RPTQMLSJRHGGFAO17DA,9,188.33,騎樓、店舖、住宅、停車空間、樓梯間,鋼筋混凝土造,101年10月15日,三層,一層 二層 三層 陽台 騎樓 見其他登記事項
RPVOMLSJRHGGFAO17DA,48,93.88,住家用,加強磚造,62年2月28日,二層,一層 二層 騎樓
RPUOMLSJRHGGFAO07DA,14,57.78,集合住宅,鋼筋混凝土造,96年12月20日,十三層,二層 陽台 雨遮
RPUOMLSJRHGGFAO07DA,14,.03,管理員室,鋼筋混凝土造,96年12月20日,十三層,一層
RPUOMLSJRHGGFAO07DA,14,10.89,防空避難室兼停車空間、停車空間、廣場式頂蓋型開放空間、沿街步道式頂蓋型開放空間、管理員室、集合住宅,鋼筋混凝土造,96年12月20日,十三層,
RPUOMLSJRHGGFAO07DA,14,27.12,防空避難室兼停車空間、停車空間、廣場式頂蓋型開放空間、沿街步道式頂蓋型開放空間、管理員室、集合住宅,鋼筋混凝土造,96年12月20日,十三層,
RPUOMLSJRHGGFAO07DA,14,12.01,集合住宅、梯間、機械室、水箱,鋼筋混凝土造,96年12月20日,十三層,
RPWRMLRJRHGGFAO47DA,14,.04,守衛室,鋼筋混凝土造,96年6月30日,六層,一層
RPWRMLRJRHGGFAO47DA,14,18.30,集合住宅,鋼筋混凝土造,96年6月30日,六層,四層 雨遮
RPWRMLRJRHGGFAO47DA,14,9.49,共同使用部份,鋼筋混凝土造,96年6月30日,六層,
RPWOMLSJRHGGFAO27DA,,75.97,集合住宅,鋼筋混凝土造,110年4月12日,六層,六層 陽台
RPWOMLSJRHGGFAO27DA,,.14,日用品零售及服務設施,鋼筋混凝土造,110年4月12日,六層,一層
RPWOMLSJRHGGFAO27DA,,15.12,共有部分,鋼筋混凝土造,110年4月12日,六層,
RPWOMLSJRHGGFAO27DA,,10.95,共有部分,鋼筋混凝土造,110年4月12日,六層,
RPWOMLSJRHGGFAO27DA,,45.04,共有部分,鋼筋混凝土造,110年4月12日,六層,
RPTOMLNJRHGGFAO09DA,28,.56,住家用,鋼筋混凝土造,82年11月4日,九層,一層 二層
RPTOMLNJRHGGFAO09DA,28,33.46,住家用,鋼筋混凝土造,82年11月4日,九層,三層 陽台
RPTOMLNJRHGGFAO09DA,28,.04,共有部分,鋼筋混凝土造,82年11月4日,九層,
RPTOMLNJRHGGFAO09DA,28,15.47,共有部分,鋼筋混凝土造,82年11月4日,九層,
RPWPMLQJRHGGFAO17DA,37,112.23,住家用,鋼筋混凝土造,73年9月27日,五層,五層
RPWQMLLMQHGGFAO96DA,23,90.27,住家用,鋼筋混凝土造,87年6月15日,十層,十層 陽台
RPWQMLLMQHGGFAO96DA,23,19.05,共有部分,鋼筋混凝土造,87年6月15日,十層,
RPWQMLLMQHGGFAO96DA,23,46.15,共有部分,鋼筋混凝土造,87年6月15日,十層,
RPVRMLRJRHGGFAO37DA,14,.04,守衛室,鋼筋混凝土造,96年6月30日,六層,一層
RPRQMLRLQHGGFAO96DA,28,21.80,共有部分,鋼筋混凝土造,82年11月11日,一層,
RPVRMLRJRHGGFAO37DA,14,17.66,集合住宅,鋼筋混凝土造,96年6月30日,六層,四層 雨遮
RPRQMLRLQHGGFAO96DA,28,12.76,共有部分,鋼筋混凝土造,82年11月11日,十層,
RPVRMLRJRHGGFAO37DA,14,9.60,共同使用部份,鋼筋混凝土造,96年6月30日,六層,
RPRQMLRLQHGGFAO96DA,28,96.21,住家用,鋼筋混凝土造,82年11月11日,十層,三層 陽台
RPOPMLKMQHGGFAO58DA,4,70.67,集合住宅,鋼筋混凝土造,106年6月9日,十二層,四層 陽台 雨遮
RPOPMLKMQHGGFAO58DA,4,50.99,共有部分,鋼筋混凝土造,106年6月9日,十二層,
RPOQMLMKQHGGFAO68DA,5,77.49,店舖,鋼筋混凝土造,105年9月30日,十四層,一層 見其他登記事項
RPOQMLMKQHGGFAO68DA,5,31.65,共有部分,鋼筋混凝土造,105年9月30日,十四層,
RPWOMLTJQHGGFAO27DA,8,115.77,集合住宅、機電空間,鋼筋混凝土造,102年9月16日,十四層,十一層 陽台
RPWOMLTJQHGGFAO27DA,8,.02,店舖,鋼筋混凝土造,102年9月16日,十四層,一層
RPWOMLTJQHGGFAO27DA,8,16.10,共有部分,鋼筋混凝土造,102年9月16日,十四層,
RPWOMLTJQHGGFAO27DA,8,.00,共有部分,鋼筋混凝土造,102年9月16日,十四層,
RPWOMLTJQHGGFAO27DA,8,35.88,共有部分,鋼筋混凝土造,102年9月16日,十四層,
RPWOMLTJQHGGFAO27DA,8,36.57,共有部分,鋼筋混凝土造,102年9月16日,十四層,
RPWRMLRKQHGGFAO47DA,30,31.77,住家用,鋼筋混凝土造,80年5月23日,七層,三層 陽台
RPWRMLRKQHGGFAO47DA,30,11.24,共有部分,鋼筋混凝土造,80年5月23日,七層,
RPSOMLMLPHGGFAO88DA,3,101.67,集合住宅,鋼筋混凝土造,107年9月3日,二十七層,二十一層 陽台
RPSOMLMLPHGGFAO88DA,3,24.89,共有部分,鋼筋混凝土造,107年9月3日,二十七層,
RPSOMLMLPHGGFAO88DA,3,54.63,共有部分,鋼筋混凝土造,107年9月3日,二十七層,
RPXPMLMKQHGGFAO86DA,5,77.72,店舖,鋼筋混凝土造,105年9月30日,十四層,一層 見其他登記事項
RPXPMLMKQHGGFAO86DA,5,59.85,共有部分,鋼筋混凝土造,105年9月30日,十四層,
RPWQMLNJQHGGFAO86DA,20,55.04,住家用,鋼筋混凝土造,90年6月1日,五層,四層 陽台
RPWQMLNJQHGGFAO86DA,20,5.93,樓梯間、水塔,鋼筋混凝土造,90年6月1日,五層,
RPWQMLNJQHGGFAO86DA,20,.08,警衛室,鋼筋混凝土造,90年5月15日,五層,一層
RPQQMLMKQHGGFAO88DA,48,83.25,住家用,加強磚造,62年1月8日,二層,一層 二層
RPTOMLRKQHGGFAO86DA,36,46.38,住家用,鋼筋混凝土造,75年1月5日,五層,一層
RPTOMLRKQHGGFAO86DA,39,9.44,共有部分,,72年1月5日,五層,
RPPPMLTJRHGGFAO76DA,2,187.91,集合住宅、停車空間、樓梯間,鋼筋混凝土造,109年1月8日,四層,一層 二層 三層 四層 雨遮 見其他登記事項
RPPNMLLLQHGGFAO48DA,35,178.62,住家用,鋼筋混凝土造,75年8月6日,二層,一層 二層 陽台 平台 屋頂突出物 夾層
RPXOMLSKQHGGFAO37DA,23,86.81,住家用,鋼筋混凝土造,87年7月18日,二十一層,三層 陽台 花台
RPXOMLSKQHGGFAO37DA,23,28.27,防空避難室、停車空間,鋼筋混凝土造,87年7月18日,二十二層,
RPXOMLSKQHGGFAO37DA,23,40.38,停車空間,鋼筋混凝土造,87年7月18日,二十二層,
RPXOMLSKQHGGFAO37DA,23,1.45,社區活動中心,鋼筋混凝土造,87年6月23日,二十一層,一層 陽台 地下一層 地下二層 地下三層
RPXOMLSKQHGGFAO37DA,23,.29,社區活動中心,鋼筋混凝土造,87年6月23日,二十一層,一層 陽台
RPPNMLTJRHGGFAO66EA,26,112.72,住家用,鋼筋混凝土造,84年7月22日,八層,三層 陽台
RPPNMLTJRHGGFAO66EA,26,13.95,共有部分,鋼筋混凝土造,84年7月22日,八層,
RPPNMLTJRHGGFAO66EA,26,12.99,共有部分,鋼筋混凝土造,84年7月22日,八層,
RPQNMLTJRHGGFAO76EA,27,85.41,住家用,鋼筋混凝土造,83年11月28日,七層,四層 陽台
RPQNMLTJRHGGFAO76EA,27,10.29,共有部分,鋼筋混凝土造,83年11月28日,七層,
RPQNMLTJRHGGFAO76EA,27,37.88,共有部分,鋼筋混凝土造,83年11月28日,七層,
RPPNMLKKRHGGFAO48EA,26,64.02,住家用,鋼筋混凝土造,84年12月8日,八層,七層 陽台 花台
RPPNMLKKRHGGFAO48EA,26,9.36,共有部分,鋼筋混凝土造,84年12月8日,八層,
RPPNMLKKRHGGFAO48EA,26,32.94,共有部分,鋼筋混凝土造,84年12月8日,八層,
RPRNMLKKRHGGFAO68EA,14,190.39,停車空間、住宅、樓梯間,鋼筋混凝土造,96年4月19日,三層,一層 二層 三層 陽台 見其他登記事項
