編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVOMLSJRHGGFEE56DA,1,171.08,集合住宅,鋼筋混凝土,109年11月13日,004,一層 二層 三層 四層 陽台 屋頂突出物
RPWOMLSJRHGGFEE66DA,1,171.08,集合住宅,鋼筋混凝土,109年11月13日,004,一層 二層 三層 四層 陽台 屋頂突出物
RPVNMLNKQHGGFFE68DA,8,375.70,住家用,鋼筋混凝土,102年6月18日,003,一層 二層 三層 陽台
RPXNMLKLQHGGFFE68DA,15,116.48,住家用,鋼筋混凝土造,95年5月12日,013,十二層 陽台
RPXNMLKLQHGGFFE68DA,15,68.91,社區活動中心、梯廳、公用開放空間、樓梯間、機械間、水箱、管理員室、門廊、垃圾收集場、托兒所、防空避難室兼停車空間,鋼筋混凝土造,95年5月12日,013,
RPSNMLNJRHGGFFE38DA,,59.15,集合住宅,鋼筋混凝土造,110年6月23日,005,五層 陽台
RPSNMLNJRHGGFFE38DA,,36.40,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPTNMLNJRHGGFFE48DA,,40.32,集合住宅,鋼筋混凝土造,110年6月23日,005,二層 陽台
RPTNMLNJRHGGFFE48DA,,15.08,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPWNMLNJRHGGFFE78DA,,40.32,集合住宅,鋼筋混凝土造,110年6月23日,005,三層 陽台
RPWNMLNJRHGGFFE78DA,,15.08,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPQOMLNJRHGGFFE28DA,,40.32,集合住宅,鋼筋混凝土造,110年6月23日,005,五層 陽台
RPQOMLNJRHGGFFE28DA,,15.08,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPUNMLMJRHGGFFE48DA,2,83.52,集合住宅,鋼筋混凝土造,108年3月22日,015,十五層 陽台 雨遮
RPUNMLMJRHGGFFE48DA,2,63.28,集合住宅,鋼筋混凝土造,108年3月22日,015,
RPSOMLNJRHGGFFE48DA,,40.32,集合住宅,鋼筋混凝土造,110年6月23日,005,四層 陽台
RPSOMLNJRHGGFFE48DA,,15.08,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPROMLNJRHGGFFE38DA,,40.32,集合住宅,鋼筋混凝土造,110年6月23日,005,二層 陽台
RPROMLNJRHGGFFE38DA,,15.08,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPXOMLNJRHGGFFE98DA,,56.37,集合住宅,鋼筋混凝土造,110年6月23日,005,三層 陽台
RPXOMLNJRHGGFFE98DA,,34.27,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPPPMLNJRHGGFFE28DA,,54.00,集合住宅,鋼筋混凝土造,110年6月23日,005,一層
