鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新竹市,房地(土地+建物),新竹市新竹市中山路６４０巷１８２號,27.14,都市：其他:第一種住宅區,,,1100807,土地3建物1車位0,一層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),店舖,鋼筋混凝土造,1050930,109.13999999999999,0,0,0,無,有,7450000,68261,,0.0,0,含裝潢費1000000元；,RPOQMLMKQHGGFAO68DA,77.49,0.0,0.0,有,
新竹市,土地,溪橋段1150地號,459.01,,特定農業區,農牧用地,1100804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18050568,39325,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPOSMLNJQHGGFAO88DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市北大路２０１號二十一樓之６,13.43,都市：其他:第二種商業區,,,1100421,土地1建物1車位1,二十一層,二十七層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1070903,181.19,3,2,2,有,有,18620000,111368,坡道平面,29.71,1750000,含裝潢費1700000元；,RPSOMLMLPHGGFAO88DA,95.42,6.25,0.0,有,
新竹市,土地,科園段龍山小段247-21地號,198.0,都市：其他:第二種住宅區,,,1100622,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33000000,166667,,0.0,0,,RPOTMLSJPHGGFAO76DA,0.0,0.0,0.0,無,
新竹市,土地,東橋段121地號,307.75,都市：其他:道路用地,,,1100715,土地38建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33250407,108044,,0.0,0,包含公共設施保留地用地；,RPXNMLLLPHGGFAO56DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市東大路二段３２３巷１３弄２９號,71.0,都市：其他:第一種住宅區,,,1100619,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0620108,83.25,5,2,3,有,無,12620000,151592,,0.0,0,頂樓加蓋；其他增建；,RPQQMLMKQHGGFAO88DA,83.25,0.0,0.0,無,037
新竹市,房地(土地+建物),新竹市新竹市柯湳一街１０６號四樓,47.53,,山坡地保育區,丙種建築用地,1100705,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0900601,61.05,3,0,3,有,有,1450000,23751,,0.0,0,,RPWQMLNJQHGGFAO86DA,50.18,4.94,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市民族路６７巷１弄３號,17.5,都市：其他:第二種住宅區,,,1100811,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750105,55.82,3,2,2,有,無,7500000,134360,,0.0,0,,RPTOMLRKQHGGFAO86DA,46.38,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市牛埔路１２０巷１２號　,117.0,都市：其他:第一種住宅區,,,1100810,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0750806,178.62,5,3,2,有,無,10405000,58252,,0.0,0,,RPPNMLLLQHGGFAO48DA,162.7,15.92,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市武陵路１７５巷３號３樓之４,16.09,都市：其他:第一種住宅區,,,1100708,土地2建物1車位1,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870718,157.2,3,2,2,有,有,8880000,56489,坡道平面,0.0,0,,RPXOMLSKQHGGFAO37DA,77.27,11.28,0.0,有,
