編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTOMLRJRHGGFBG78DA,4,34.30,本共有部分之項目有停車空間、機電空間、管理委員會空間及屋頂突出物等４項,鋼筋混凝土造,106年8月14日,十五層,
RPSOMLRJRHGGFBG68DA,4,46.94,集合住宅,鋼筋混凝土造,106年8月14日,十五層,七層 陽台 雨遮
RPSOMLRJRHGGFBG68DA,4,37.02,本共有部分之項目有停車空間、機電空間、管理委員會空間及屋頂突出物等４項,鋼筋混凝土造,106年8月14日,十五層,
RPXNMLLJRHGGFBG48DA,2,197.05,住家用,鋼筋混凝土造,108年3月14日,三層,一層 二層 三層 陽台
RPQNMLLKRHGGFBG87DA,5,222.70,住宅、樓梯間,鋼筋混凝土造,105年10月18日,三層,一層 二層 三層 陽台 見其他登記事項
RPPOMLMJRHGGFBG87DA,13,28.21,共有部份,鋼筋混凝土、鋼骨造,97年8月28日,四層,
RPPOMLMJRHGGFBG87DA,13,282.93,停車空間、住宅,鋼筋混凝土、鋼骨造,97年8月28日,四層,一層 二層 三層 四層 陽台 地下層
RPRNMLLKRHGGFBG97DA,40,92.03,住家用,鋼筋混凝土加強磚造,70年6月12日,五層,四層
RPRNMLLKRHGGFBG97DA,40,11.19,共有部份,鋼筋混凝土加強磚造,70年6月12日,五層,
RPSNMLLKRHGGFBG08DA,14,245.82,集合住宅,鋼筋混凝土造,97年2月4日,四層,二層 三層 四層 陽台
RPSNMLLKRHGGFBG08DA,14,94.41,共有部份,鋼筋混凝土造,97年2月4日,四層,
RPXNMLKKRHGGFBG48DA,40,140.17,住家用,鋼筋混凝土加強磚造,70年3月16日,五層,一層 二層 騎樓
RPTNMLLKRHGGFAG18EA,,186.71,住家用,鋼筋混凝土造,110年6月3日,三層,一層 二層 三層 陽台
RPTNMLOKRHGGFBG48DA,6,203.83,住宅、停車空間、樓梯間,鋼筋混凝土造,105年1月20日,三層,一層 二層 三層 陽台 屋簷 見其他登記事項
RPQNMLNKRHGGFBG18EA,18,21.61,共有部份,鋼筋混凝土造,92年11月28日,四層,
RPQNMLNKRHGGFBG18EA,18,223.37,住家用,鋼筋混凝土造,92年11月28日,四層,一層 二層 三層 四層 陽台 雨遮 地下層 見其他登記事項
RPUOMLNKRHGGFBG68EA,6,303.40,停車空間、住宅,鋼筋混凝土造,104年9月3日,四層,一層 二層 三層 四層 陽台
RPPNMLOKRHGGFBG18EA,26,11.26,共有部份,鋼筋混凝土造,85年2月20日,七層,
RPPNMLOKRHGGFBG18EA,25,80.24,住家用,鋼筋混凝土造,85年12月20日,七層,七層 陽台
RPPNMLOKRHGGFBG18EA,25,10.75,共有部份,鋼筋混凝土造,85年12月20日,七層,
RPPNMLOKRHGGFBG18EA,25,1.09,共有部份,鋼筋混凝土造,85年12月20日,七層,
RPPOMLNKRHGGFBG18EA,40,126.88,住家用,鋼筋混凝土加強磚造,70年9月14日,二層,一層 二層
RPUNMLOKRHGGFBG58DA,27,33.83,住家用,鋼筋混凝土造,83年12月12日,十四層,八層 陽台
RPUNMLOKRHGGFBG58DA,27,17.78,共有部份,鋼筋混凝土造,83年12月12日,十四層,
RPXOMLKMQHGGFBG68DA,6,252.50,農舍、樓梯間,鋼筋混凝土造,104年10月2日,三層,一層 二層 三層 陽台 見其他登記事項
RPQNMLNJRHGGFBG97DA,5,340.26,農舍,鋼筋混凝土造,105年2月4日,三層,一層 二層 三層 陽台
RPVNMLNKRHGGFBG58DA,31,129.79,住家用,鋼筋混凝土造,79年6月21日,七層,一層 二層 陽台 騎樓
RPVNMLNKRHGGFBG58DA,31,27.47,共有部份,鋼筋混凝土造,79年6月21日,七層,
RPROMLKKRHGGFBG97DA,22,9.19,共有部份,鋼筋混凝土造,88年3月29日,九層,
RPROMLKKRHGGFBG97DA,22,5.26,共有部份,鋼筋混凝土造,88年3月29日,九層,
RPROMLKKRHGGFBG97DA,22,1.90,共有部份,鋼筋混凝土造,88年3月29日,九層,
RPROMLKKRHGGFBG97DA,22,42.03,商業用,鋼筋混凝土造,88年3月29日,九層,一層 騎樓
RPRNMLOKRHGGFBG28DA,3,172.17,住宅、樓梯間,鋼筋混凝土造,108年1月4日,三層,一層 二層 三層 陽台 屋簷 見其他登記事項
RPTNMLMKRHGGFBG28DA,,35.39,住家用,鋼筋混凝土加強磚造,,一層,一層
RPPNMLLKRHGGFAG67DA,35,114.62,住家用,鋼筋混凝土造,75年6月30日,二層,一層 二層 騎樓
RPQNMLOKRHGGFAG08DA,43,100.36,住家用,鋼筋混凝土加強磚造,67年4月25日,三層,一層 二層
RPQNMLOKRHGGFAG08DA,,50.18,住家用,鋼筋混凝土加強磚造,,三層,三層
RPPNMLLMQHGGFAG77DA,42,201.84,住家用,鋼筋混凝土造,68年11月20日,三層,一層 二層 三層 騎樓
RPVNMLOKRHGGFAG58DA,11,453.58,住宅．停車空間,鋼筋混凝土造,99年4月2日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPROMLPLQHGGFAG38DA,,249.76,住宅、梯間,鋼筋混凝土造,109年6月29日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPQNMLTJRHGGFAG48DA,29,155.98,住家用,鋼筋混凝土造,81年8月18日,二層,一層 二層 陽台 屋頂突出物
RPPOMLKKRHGGFAG67DA,5,263.68,農舍,鋼筋混凝土造,105年12月27日,二層,一層 二層 陽台
RPSNMLSKQHGGFBG68DA,,97.18,住家用,鋼筋混凝土加強磚造,,一層,一層 騎樓
RPSOMLOKRHGGFBG48DA,,150.43,住家用,鋼筋混凝土造,110年5月18日,三層,一層 二層 三層 陽台
RPUOMLOKRHGGFBG68DA,10,129.90,集合住宅,鋼筋混凝土造,100年4月14日,七層,七層 陽台
RPUOMLOKRHGGFBG68DA,10,85.34,本共有部分之項目有防空避難室兼停車空間、管委會使用空間、電梯機房、水箱等４項。,鋼筋混凝土造,100年4月14日,七層,
SPVOMLOKRHGGFBG88DA,,150.43,住家用,鋼筋混凝土造,110年5月18日,三層,一層 二層 三層 陽台
RPVOMLOKRHGGFBG78DA,,150.43,住家用,鋼筋混凝土造,110年5月18日,三層,一層 二層 三層 陽台
RPWOMLOKRHGGFBG88DA,45,93.86,住家用,鋼筋混凝土加強磚造,66年2月8日,二層,一層 二層
RPXNMLOKRHGGFBG88DA,,153.03,住家用,鋼筋混凝土造,110年5月18日,三層,一層 二層 三層 陽台
RPPOMLOKRHGGFBG18DA,,150.43,住家用,鋼筋混凝土造,110年5月18日,三層,一層 二層 三層 陽台
RPROMLOKRHGGFBG38DA,,171.39,住家用,鋼筋混凝土造,110年5月18日,三層,一層 二層 三層 陽台
RPRNMLRKRHGGFAG58EA,36,139.17,住家用,鋼筋混凝土加強磚造,74年10月28日,二層,一層 二層 屋頂突出物
RPOOMLOKRHGGFBG08DA,,174.31,住家用,鋼筋混凝土造,110年5月18日,三層,一層 二層 三層 陽台
RPRNMLQKRHGGFBG58EA,25,229.29,農舍,鋼筋混凝土加強磚造,85年5月22日,二層,一層 二層 陽台 平台 見其他登記事項
RPTNMLMJRHGGFBG18DA,4,.20,集合住宅,鋼骨鋼筋混凝土造,106年12月21日,二十九層,一層
RPTNMLMJRHGGFBG18DA,4,129.04,集合住宅,鋼骨鋼筋混凝土造,106年12月21日,二十九層,十八層 陽台 雨遮
RPTNMLMJRHGGFBG18DA,4,55.45,本共用部分之項目有：停車空間、大廳、供管委員會使用空間、中繼機房、機電梯間、機房、水箱等７項,鋼骨鋼筋混凝土造,106年12月21日,二十九層,
RPTNMLMJRHGGFBG18DA,4,102.78,本共用部分之項目有：停車空間、大廳、供管委員會使用空間、中繼機房、機電梯間、機房、水箱等７項,鋼骨鋼筋混凝土造,106年12月21日,二十九層,
RPRNMLSJRHGGFBG58DA,5,48.89,集合住宅,鋼筋混凝土造,105年11月8日,十三層,三層 陽台
